8678, -1, -4, -1, 0, 1, 0
10260, 1, 0, 2, 0, -1, 0
10194, -1, -2, 1, 2, -1, 2
8586, 2, 3, 0, -1, 3, 0
8456, 1, -3, 2, 1, 3, 3
8650, 0, -1, 1, 0, 1, 1
8466, 2, -1, 0, -2, 4, -3
8654, 1, 0, 0, 0, 1, -1
9826, 0, -1, 4, 1, 0, -1
8472, 3, -1, 2, -1, -1, -2
8668, 0, 4, 4, 0, -1, -1
10252, -1, 0, -1, -2, 0, -1
9850, -2, -1, 1, 0, 0, 2
8197, 2, 1, 1, 0, 1, 0
10261, 0, 0, -3, 2, 0, -1
8659, -3, -1, 1, 0, -1, 1
9825, -2, 1, 0, 2, 1, 1
10003, -3, 0, -3, 0, 1, 2
9817, 2, -1, 2, 3, -1, 0
8455, 0, -2, 1, -1, 2, 0
